timestamp,Building,average_aggregated_humidity
2023-05-09 08:00:00,Shaw,69.78235294117647
2023-05-09 09:00:00,Shaw,68.88372093023256
2023-05-09 10:00:00,Shaw,69.45930232558139
2023-05-09 11:00:00,Shaw,69.71176470588236
2023-05-09 12:00:00,Shaw,69.73255813953489
2023-05-09 13:00:00,Shaw,69.69411764705882
2023-05-09 14:00:00,Shaw,69.24117647058823
2023-05-09 15:00:00,Shaw,69.13953488372093
2023-05-09 16:00:00,Shaw,69.40697674418605
2023-05-09 17:00:00,Shaw,69.95882352941176
2023-05-09 18:00:00,Shaw,69.7
2023-05-09 19:00:00,Shaw,69.49418604651163
2023-05-09 20:00:00,Shaw,69.79651162790698
2023-05-09 21:00:00,Shaw,70.24117647058823
2023-05-09 22:00:00,Shaw,70.25
2023-05-09 23:00:00,Shaw,70.30232558139535
2023-05-10 00:00:00,Shaw,70.04166666666667
2023-05-10 01:00:00,Shaw,69.45930232558139
2023-05-10 02:00:00,Shaw,69.27058823529411
2023-05-10 03:00:00,Shaw,69.12941176470588
2023-05-10 04:00:00,Shaw,69.01764705882353
2023-05-10 05:00:00,Shaw,68.93023255813954
2023-05-10 06:00:00,Shaw,68.74418604651163
2023-05-10 07:00:00,Shaw,67.97058823529412
2023-05-10 08:00:00,Shaw,68.86470588235294
2023-05-10 09:00:00,Shaw,68.93529411764706
2023-05-10 10:00:00,Shaw,68.90697674418605
2023-05-10 11:00:00,Shaw,68.45348837209302
2023-05-10 12:00:00,Shaw,68.14880952380952
2023-05-10 13:00:00,Shaw,67.71764705882353
2023-05-10 14:00:00,Shaw,67.47647058823529
2023-05-10 15:00:00,Shaw,67.76162790697674
2023-05-10 16:00:00,Shaw,68.12209302325581
2023-05-10 17:00:00,Shaw,68.66279069767442
2023-05-10 18:00:00,Shaw,68.81176470588235
2023-05-10 19:00:00,Shaw,68.57894736842105
2023-05-10 20:00:00,Shaw,68.86792452830188
2023-05-10 21:00:00,Shaw,69.91791044776119
2023-05-10 22:00:00,Shaw,69.98461538461538
2023-05-10 23:00:00,Shaw,69.51204819277109
2023-05-11 00:00:00,Shaw,69.0297619047619
2023-05-11 01:00:00,Shaw,68.47647058823529
2023-05-11 02:00:00,Shaw,68.70833333333333
2023-05-11 03:00:00,Shaw,68.85882352941177
2023-05-11 04:00:00,Shaw,68.76162790697674
2023-05-11 05:00:00,Shaw,68.78048780487805
2023-05-11 06:00:00,Shaw,68.77325581395348
2023-05-11 07:00:00,Shaw,68.6
2023-05-11 08:00:00,Shaw,69.69
2023-05-11 09:00:00,Shaw,69.56410256410257
2023-05-11 10:00:00,Shaw,69.51162790697674
2023-05-11 11:00:00,Shaw,69.61904761904762
2023-05-11 12:00:00,Shaw,70.13095238095238
2023-05-11 13:00:00,Shaw,70.04819277108433
2023-05-11 14:00:00,Shaw,69.79
2023-05-11 15:00:00,Shaw,68.86627906976744
2023-05-11 16:00:00,Shaw,69.19186046511628
2023-05-11 17:00:00,Shaw,70.09
2023-05-11 18:00:00,Shaw,69.55128205128206
2023-05-11 19:00:00,Shaw,70.51020408163265
2023-05-11 20:00:00,Shaw,68.81132075471699
